Comment,Designator,Footprint,LCSC
100n,"C12,C4,C5,C6,C7,C8",C_0402_1005Metric,C1525
10u,C1,C_0402_1005Metric,C15525
20p,"C10,C11",C_0402_1005Metric,C1554
4.7u,"C2,C3,C9",C_0402_1005Metric,C23733
220,R1,R_0402_1005Metric,C25091
10k,"R6,R7,R8",R_0402_1005Metric,C25744
2k2,R4,R_0402_1005Metric,C25879
4.7k,R5,R_0402_1005Metric,C25900
5k1,"R2,R3",R_0402_1005Metric,C25905
USB C Connector,J1,USB-C-C168688,C2681552
HSE1 8Mhz 12pF,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C2682775
Boot0,SW1,SW_SPST_CK_KXT3,C319433
LED,D1,LED_0603_1608Metric,C72041
STM32F401RCTx,U1,QFP50P1200X1200X160-64N,C74524
XC6220B331MR,U2,SOT-23-5,C86534
