Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0402_1005Metric,98.8314,-58.2168,180.0,top
C2,4.7u,C_0402_1005Metric,104.494953,-59.295963,90.0,top
C3,4.7u,C_0402_1005Metric,105.550843,-59.295877,-90.0,top
C4,100n,C_0402_1005Metric,103.2956,-75.1192,-90.0,top
C5,100n,C_0402_1005Metric,101.8886,-77.0992,90.0,top
C6,100n,C_0402_1005Metric,93.955216,-59.266949,90.0,top
C7,100n,C_0402_1005Metric,103.3266,-77.1192,-90.0,top
C8,100n,C_0402_1005Metric,100.3886,-75.1192,90.0,top
C9,4.7u,C_0402_1005Metric,95.571646,-59.734374,0.0,top
C10,20p,C_0402_1005Metric,101.8886,-75.1192,-90.0,top
C11,20p,C_0402_1005Metric,98.8314,-77.1192,-90.0,top
C12,100n,C_0402_1005Metric,105.570883,-56.45603,90.0,top
D1,LED,LED_0603_1608Metric,94.968796,-56.347195,0.0,top
J1,USB C Connector,USB-C-C168688,100.1144,-48.372,0.0,top
R1,220,R_0402_1005Metric,98.8822,-75.1312,90.0,top
R2,5k1,R_0402_1005Metric,104.50816,-56.105929,90.0,top
R3,5k1,R_0402_1005Metric,95.557925,-58.725928,180.0,top
R4,2k2,R_0402_1005Metric,97.01805,-56.766564,90.0,top
R5,4.7k,R_0402_1005Metric,97.2566,-58.7268,-90.0,top
R6,10k,R_0402_1005Metric,94.558687,-57.669462,0.0,top
R7,10k,R_0402_1005Metric,105.080806,-57.856358,180.0,top
R8,10k,R_0402_1005Metric,100.3886,-77.0992,90.0,top
SW1,Boot0,SW_SPST_CK_KXT3,105.2886,-76.2992,90.0,top
U1,STM32F401RCTx,QFP50P1200X1200X160-64N,100.0879,-66.9954,0.0,top
U2,XC6220B331MR,SOT-23-5,101.8886,-58.2992,180.0,top
Y1,HSE1 8Mhz 12pF,Crystal_SMD_3225-4Pin_3.2x2.5mm,95.8886,-76.3492,180.0,top
